R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
90,99.3,Mitchell Robinson,C,NY,68,26.9,0.711 (3.6/5.0),0.485 (1.2/2.4),0,8.3,11.3,0.7,0.9,1.8,0.8,1.29
91,118.3,Trey Murphy III,"SF,PF",NO,60,30,0.461 (4.6/9.9),0.896 (2.0/2.2),2.5,13.6,3.9,1.4,1,0.5,0.7,1.25
92,81.7,Jakob Poeltl,C,TOR,70,27,0.623 (5.6/9.0),0.549 (1.5/2.7),0,12.8,9.1,2.7,0.8,1.4,1.7,1.2
93,58.9,Josh Giddey,"SG,SF,PF",OKC,74,30.1,0.478 (7.1/14.8),0.723 (1.2/1.7),1,16.3,7.6,6.1,0.8,0.4,2.9,1.18
94,135.2,Dennis Schröder,PG,TOR,70,33,0.434 (5.2/12.0),0.855 (3.4/3.9),1.4,15.2,3.4,7.3,0.9,0.2,2.3,1.13
95,74.7,Jerami Grant,PF,POR,65,32,0.465 (6.1/13.0),0.818 (3.9/4.7),1.9,17.9,4,2.2,0.8,0.8,1.7,1.13
96,83.1,Michael Porter Jr.,SF,DEN,65,30.2,0.472 (6.4/13.6),0.780 (1.5/1.9),2.9,17.3,5.9,1.2,0.7,0.5,1.2,1.05
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
97,120.8,Ben Simmons,"PG,SG,PF",BKN,50,29.3,0.554 (4.5/8.1),0.436 (0.7/1.6),0,9.7,7.2,7,1.5,0.7,2.7,0.98
98,92.1,Jabari Smith Jr.,"PF,C",HOU,79,32.2,0.438 (5.9/13.6),0.788 (2.5/3.2),1.7,16.1,8,1.4,0.6,1.2,1.5,0.97
99,106.6,Miles Bridges,"SF,PF",CHA,40,28.4,0.484 (5.8/11.9),0.799 (2.6/3.3),1.5,15.7,5.5,3,0.7,0.7,1.5,0.95
100,95,Draymond Green,"PF,C",GS,55,31.3,0.527 (3.4/6.4),0.688 (1.2/1.7),0.5,8.4,7.5,6,1,0.7,3,0.94
